description,done
The green mile,
Pan’s labyrinth,
misery,
The wizard of oz,
the shawshank redemption,
in the heat of the night,
one flew over the cuckoo’s nest,
Thelma & Louise,
Casino,
Philadelphia,
Saving private Ryan,done
Dial M for murder,
The treasure of the sierra madre,
All about eve,
Mean streets,
12 years a slave,
12 angry men,
boyhood,
notorious,
taxi driver,
raging bull,
my left foot,
To Kill a Mockingbird ,
The Grapes of Wrath ,
The Maltese Falcon ,
A Streetcar Named Desire ,
Three Colors: Red ,
Citizen Kane ,
Manchester by the Sea ,
bandits,
hostage,
the dark knight,done
the matrix,done
Seven,done
It,
The silence of the lambs,done
lights out,
the platform,
The shining,
Parasite,
The conjuring,
Rear window,
vertigo,
psycho,
Rosemary(s baby,
The godfather,
Apocalypse now,
Lawrence of Arabia,
Chinatown,
We’re the millers,
Little miss sunshine,
Bridesmaids,
Throw momma from the train,
As good as it gets,
Forrest gump,done
Death becomes her,
Airplane!,
Home alone2.Lost in new york,done
Ghostbusters,done
Some like it hot,
American Graffiti,
Singin’ in the rain,
The wild bunch,
War for the planet of the apes,
back to the future,done
the truman show,done
E.T.,done
Avatar,done
Jurassic Park,done
Gravity,done
2001: a space odyssey,done
Fantastic Mr. Fox,
Toy story 1,
The missing link,
Beaty and the beast,
the little mermaid,
the lion king,
marry poppins,
Spirted aways,
Fantasia,
Ratatoulle,
Dumbo,
COCO,done
Up,done
Pinocchio,
Ghost,done
Titanic,done
Brokeback mountain,
Call me by your name,
When Harry met sally,
Groundhog day,done
Gone with the wind,
An affair to remember,
Portrait of a lady on fire,
City lights,
North by northwest,
Casablanca,
Moulin Rouge,
